sample_id,main_lineage,sub_lineage,is_unknown_lineage,is_compound_lineage,stratifiable_single_lineage
SRR37031321,lineage4,lineage4.1.1.3,False,False,True
SRR37031322,lineage4,lineage4.1.1.3,False,False,True
SRR37031323,lineage4,lineage4.1.1.3,False,False,True
SRR37031324,lineage1,lineage1.2.2.1,False,False,True
SRR37031325,lineage2,lineage2.2.1,False,False,True
SRR37031326,lineage4,lineage4.9.1,False,False,True
SRR37031327,lineage4,lineage4.1.1.1,False,False,True
SRR37031328,lineage4,lineage4.3.3,False,False,True
SRR37031329,lineage4,lineage4.1.1.1,False,False,True
SRR37031330,lineage2,lineage2.2.1,False,False,True
SRR37031331,lineage2,lineage2.2.1,False,False,True
SRR37031332,lineage3,lineage3.1.1,False,False,True
SRR37031333,lineage2,lineage2.2.1,False,False,True
SRR37031334,lineage2,lineage2.2.1,False,False,True
SRR37031335,lineage4,lineage4.4.1.1.1,False,False,True
SRR37031336,lineage4,lineage4.3.3,False,False,True
SRR37031337,lineage4,lineage4.1.1.3,False,False,True
SRR37031338,lineage4,lineage4.3.2.1,False,False,True
SRR37540762,lineage2,lineage2.2.1,False,False,True
SRR37540763,lineage2,lineage2.2.1,False,False,True
SRR5181823,Unknown,Unknown,True,False,False
SRR5181824,Unknown,Unknown,True,False,False
SRR5181825,Unknown,Unknown,True,False,False
SRR5181826,lineage4,lineage4,False,False,True
SRR5181827,Unknown,Unknown,True,False,False
SRR5181828,lineage4,lineage4.9,False,False,True
SRR5181829,lineage4,lineage4,False,False,True
SRR5181830,lineage4,lineage4.9,False,False,True
SRR5181831,lineage4,lineage4.9,False,False,True
SRR5181832,lineage4,lineage4.9,False,False,True
SRR5181833,lineage4,lineage4.9,False,False,True
SRR5181834,Unknown,Unknown,True,False,False
SRR5181835,Unknown,Unknown,True,False,False
SRR5181836,Unknown,Unknown,True,False,False
SRR5181837,lineage4,lineage4.9,False,False,True
SRR5181838,lineage4,lineage4,False,False,True
SRR5181839,lineage4,lineage4.9,False,False,True
SRR5181840,lineage4,lineage4.9,False,False,True
SRR5181841,lineage4,lineage4.9,False,False,True
SRR5181842,lineage4,lineage4.9,False,False,True
SRR5181843,lineage4,lineage4.9,False,False,True
SRR5181844,lineage4,lineage4.9,False,False,True
SRR5181845,lineage4,lineage4,False,False,True
SRR5181846,lineage4,lineage4.9,False,False,True
SRR5181847,lineage4,lineage4.9,False,False,True
SRR5181848,lineage4,lineage4,False,False,True
SRR5181849,Unknown,Unknown,True,False,False
SRR5181850,lineage4,lineage4.9,False,False,True
SRR5181851,lineage4,lineage4,False,False,True
SRR5181852,lineage4,lineage4,False,False,True
SRR5181853,Unknown,Unknown,True,False,False
SRR5181854,lineage4,lineage4,False,False,True
SRR5181855,Unknown,Unknown,True,False,False
SRR5181856,lineage4,lineage4.9,False,False,True
SRR5181857,lineage4,lineage4,False,False,True
SRR5181858,lineage4,lineage4.9,False,False,True
SRR5181859,lineage4,lineage4,False,False,True
SRR5181860,Unknown,Unknown,True,False,False
SRR5181861,lineage4,lineage4.9,False,False,True
SRR5181862,lineage4,lineage4.9,False,False,True
SRR5181863,lineage4,lineage4,False,False,True
SRR5181864,Unknown,Unknown,True,False,False
SRR5181865,lineage4,lineage4.9,False,False,True
SRR5181866,lineage4,lineage4.9,False,False,True
SRR5181867,lineage4,lineage4.9,False,False,True
SRR5181868,Unknown,Unknown,True,False,False
SRR5181869,Unknown,Unknown,True,False,False
SRR5181870,lineage4,lineage4.9,False,False,True
SRR5181871,lineage4,lineage4.9,False,False,True
SRR5181872,lineage4,lineage4.9,False,False,True
SRR5181873,Unknown,Unknown,True,False,False
SRR5181874,lineage4,lineage4,False,False,True
SRR5181875,lineage4,lineage4.9,False,False,True
SRR5181876,lineage4,lineage4.9,False,False,True
SRR5181877,lineage4,lineage4,False,False,True
SRR5181878,lineage4,lineage4.9,False,False,True
SRR5181879,lineage4,lineage4.9,False,False,True
SRR5181880,lineage4,lineage4.9,False,False,True
SRR5181881,lineage4,lineage4.9,False,False,True
SRR5181882,lineage4,lineage4.9,False,False,True
SRR5181883,lineage4,lineage4,False,False,True
SRR5181884,lineage4,lineage4.9,False,False,True
SRR5181885,lineage4,lineage4,False,False,True
SRR5181886,lineage4,lineage4,False,False,True
SRR5181887,lineage4,lineage4,False,False,True
SRR5181888,lineage4,lineage4.9,False,False,True
SRR5181889,lineage4,lineage4,False,False,True
SRR5181890,lineage4,lineage4.9,False,False,True
SRR5181891,lineage4,lineage4,False,False,True
SRR5181892,lineage4,lineage4,False,False,True
SRR5181893,lineage4,lineage4.9,False,False,True
SRR5181894,lineage4,lineage4.9,False,False,True
SRR5181895,lineage4,lineage4,False,False,True
SRR5181896,lineage4,lineage4.9,False,False,True
SRR5181897,lineage4,lineage4,False,False,True
SRR5181898,lineage4,lineage4.9,False,False,True
SRR5181899,lineage4,lineage4,False,False,True
SRR5181900,lineage4,lineage4,False,False,True
SRR5181901,lineage4,lineage4.9,False,False,True
SRR5181902,lineage4,lineage4.9,False,False,True
SRR5181903,lineage4,lineage4.9,False,False,True
SRR5181904,lineage4,lineage4.9,False,False,True
SRR5181905,lineage4,lineage4.9,False,False,True
SRR5181906,Unknown,Unknown,True,False,False
SRR5181907,lineage4,lineage4.9,False,False,True
SRR5181908,lineage4,lineage4.9,False,False,True
SRR5181909,lineage4,lineage4.9,False,False,True
SRR5181910,lineage4,lineage4.9,False,False,True
SRR5181911,lineage4,lineage4.9,False,False,True
SRR5181912,lineage4,lineage4.9,False,False,True
SRR5181913,lineage4,lineage4,False,False,True
SRR5181914,lineage4,lineage4.9,False,False,True
SRR5181915,lineage4,lineage4.9,False,False,True
SRR5181916,lineage4,lineage4.9,False,False,True
SRR5181917,lineage4,lineage4,False,False,True
SRR5181918,lineage4,lineage4,False,False,True
SRR5181919,lineage4,lineage4.9,False,False,True
SRR5181920,lineage4,lineage4,False,False,True
SRR5181921,lineage4,lineage4,False,False,True
SRR5181922,lineage4,lineage4.9,False,False,True
SRR5181923,lineage4,lineage4.9,False,False,True
SRR5181924,lineage4,lineage4,False,False,True
